file_name,word_count1, avg_sentence_length1, sentence_count1, difficult_words1, avg_syllables_per_word1, poly_syllable_count1,Avg_wordLength1, Avg_SentLenghtByCh1, Avg_SentLenghtByWord1,CountSpecialCharacter1, CountPuncuation1,CountFunctionalWords1, AvgWordFrequencyClass1,typeTokenRatio1, BrunetsMeasureW1,YulesCharacteristicK1, ShannonEntropy1,SimpsonsIndex1, smog_index1, gunning_fog1,flesch_reading_ease1, dale_chall_readability_score1
1.txt,245,11.666666666666666,21,21,0.8,21,3.4275862068965517,173.0,34.2,0.0,0.047180667433831994,0.49,2.055,0.4148471615720524,17.143178431226673,1519.0,5.976158320405405,0.9815075376884422,8.8,10.095238095238095,127.31,5.57
10.txt,431,10.775,40,37,1.0,36,4.6,88.52380952380952,15.857142857142858,0.0,0.030867482703565728,0.45382585751978893,2.7810026385224274,0.47754137115839246,33.31853367574601,1847.1049352204454,7.020621212217763,0.9887199676117882,8.5,9.743874709976799,111.3,5.53
100.txt,228,9.91304347826087,23,20,1.0,19,4.132352941176471,50.473684210526315,9.894736842105264,0.0,0.042988741044012284,0.6057692307692307,2.4471153846153846,0.42436974789915966,18.141322563719957,1518.121301775148,6.054312968811483,0.9823485693050911,8.3,9.47398932112891,112.17,5.51
101.txt,339,6.647058823529412,51,46,0.9,44,4.593220338983051,38.205882352941174,6.705882352941177,0.0,0.057057057057057055,0.5369649805447471,2.5058365758754864,0.39692307692307693,22.49563676731549,1618.1925540129298,6.417426661964245,0.9856213521400778,8.4,10.086552142981088,123.95,6.11

102.txt,584,10.618181818181819,55,50,0.9,47,4.051724137931035,60.87179487179487,11.461538461538462,0.0,0.04809286898839138,0.4411764705882353,2.645098039215686,0.4023372287145242,37.987551738133334,1449.5963091118801,7.320731589246481,0.9915405061828267,8.4,9.671930261519304,119.92,5.52

103.txt,143,6.5,22,17,0.9,17,4.696629213483146,54.27272727272727,9.090909090909092,0.0,0.04612850082372323,0.576271186440678,1.5,0.6343283582089553,16.943060873375856,3277.7937374317726,6.138791884015931,0.9917427205562799,8.2,9.355244755244755,124.1,5.84

104.txt,754,8.870588235294118,85,79,1.0,77,4.5108958837772395,39.148148148148145,7.444444444444445,0.0012303906490310674,0.03844970778222086,0.48130841121495327,3.0856697819314642,0.3671052631578947,42.20377032273961,1200.0562882735999,7.414718418642439,0.9910089861538387,8.6,9.73921672647839,113.23,5.73

105.txt,373,8.477272727272727,44,41,0.9,39,4.282296650717703,51.793103448275865,9.344827586206897,0.00065359477124183,0.041176470588235294,0.6107594936708861,2.4651898734177213,0.4081081081081081,25.336437002990866,1484.738022752764,6.54225562515291,0.9851115129596142,8.5,9.787691932732148,122.09,5.79

106.txt,388,9.023255813953488,43,40,0.9,40,4.373737373737374,40.833333333333336,7.916666666666667,0.0019933554817275745,0.051827242524916946,0.5409836065573771,2.0622950819672132,0.45698924731182794,28.989678618243087,1986.992743886052,6.882748655340671,0.9905306298533219,8.6,9.733013665787581,121.54,5.71

107.txt,503,10.934782608695652,46,45,1.0,41,4.7781954887218046,79.48148148148148,14.62962962962963,0.003683241252302026,0.0285451197053407,0.6376470588235295,2.684705882352941,0.45188284518828453,35.00113664677658,1660.235294117647,7.097945025252808,0.9894339622641509,8.5,9.952441870516035,111.14,5.59

108.txt,618,7.725,80,66,1.0,59,4.5982404692082115,35.74647887323944,6.859154929577465,0.0019193857965451055,0.050671785028790786,0.5757009345794393,3.3962616822429905,0.4492063492063492,44.38366138110366,1824.2291903222988,7.425456604246036,0.9897301270608002,8.0,9.361844660194174,114.39,5.71

109.txt,198,8.25,24,23,1.1,23,5.880341880341881,61.4375,10.125,0.0,0.03006012024048096,0.6134969325153374,2.2392638036809815,0.6290322580645161,22.150673973397765,3431.0662802514207,6.579500681928904,0.9931833674164963,8.7,9.946464646464648,105.4,5.88

11.txt,198,10.421052631578947,19,19,1.0,19,4.946902654867257,107.125,18.625,0.0,0.034722222222222224,0.6666666666666666,2.1818181818181817,0.5869565217391305,20.530967386127866,2798.1634527089072,6.3746682206531995,0.98980044345898,8.8,10.006804891015419,111.66,5.67

110.txt,175,6.481481481481482,27,25,1.1,23,5.196428571428571,53.8125,9.4375,0.0,0.0273972602739726,0.5833333333333334,3.019230769230769,0.5730337078651685,19.37282961327134,2750.657462195924,6.239039722598028,0.9856079404466501,8.4,10.306878306878307,107.2,6.21

111.txt,332,10.06060606060606,33,30,1.0,29,4.7023809523809526,81.3529411764706,14.764705882352942,0.0,0.03859899928520372,0.5754385964912281,2.1087719298245613,0.5153374233128835,28.983691038611333,2218.7750076946754,6.922595222349343,0.9915492957746479,8.5,9.638700255567727,112.02,5.56

112.txt,135,7.9411764705882355,17,14,1.2,12,5.025974025974026,71.0,12.777777777777779,0.0,0.030911901081916538,0.4297520661157025,2.2975206611570247,0.6159420289855072,16.854364099410915,3118.6394371969127,6.00643655963899,0.9860881542699724,7.9,9.324618736383442,97.25,5.67

113.txt,458,8.980392156862745,51,50,1.0,43,4.589958158995816,57.484848484848484,10.878787878787879,0.0,0.0368066355624676,0.5561224489795918,2.568877551020408,0.401330376940133,29.61350628131309,1478.420449812578,6.844961438898088,0.9878386137063521,8.4,9.958969089819334,113.12,5.81

114.txt,600,10.909090909090908,55,55,1.0,53,4.685015290519877,85.13333333333334,15.666666666666666,0.0,0.03523035230352303,0.639763779527559,3.2539370078740157,0.3893653516295026,35.603990135660496,1301.3051026102053,7.013876148155939,0.9858283247138486,8.7,10.030303030303031,111.16,5.63

115.txt,1315,13.842105263157896,95,92,1.2,92,5.323262839879154,79.12658227848101,14.886075949367088,0.0028440511929214724,0.01943434981829673,0.5939342881213142,3.8331929233361417,0.38677811550151975,70.74685049613187,1210.2040570090612,7.942895871488835,0.9896049246261139,8.8,10.335321192715632,91.27,5.43

116.txt,816,14.836363636363636,55,53,1.1,53,5.017283950617284,83.26666666666667,16.11111111111111,0.0007913479293062516,0.0245317858084938,0.561141304347826,3.073369565217391,0.42610837438423643,51.47979905076195,1428.476488657845,7.561419734277489,0.990527950310559,8.7,10.53258467023173,98.72,5.4

117.txt,1025,10.677083333333334,96,91,1.0,86,4.680284191829485,61.816901408450704,11.112676056338028,0.0026911863646557526,0.037900874635568516,0.6417910447761194,2.981630309988519,0.36964980544747084,54.92609524571633,1205.8931694965077,7.727757416327757,0.9921770458054555,8.5,9.822052845528455,111.4,5.57

118.txt,1360,9.006622516556291,151,125,0.9,122,4.471626733921816,36.2972972972973,6.716216216216216,0.0038077969174977336,0.07923844061650046,0.5718206770356816,4.221408966148216,0.2786516853932584,52.14329116117607,961.604621943349,7.165625300759024,0.9719409897817949,8.3,9.27911959485781,121.55,5.53

119.txt,531,10.411764705882353,51,50,1.0,48,4.992982456140351,67.02857142857142,12.228571428571428,0.0008403361344537816,0.03235294117647059,0.64,2.617777777777778,0.4679611650485437,38.602135010100476,1876.9382716049383,7.249863868012257,0.9905567928730512,8.7,9.93118422510247,111.67,5.64

12.txt,2242,12.666666666666666,177,176,1.1,176,5.113957597173145,73.47142857142858,13.842857142857143,0.00028776978417266187,0.02446043165467626,0.5075757575757576,3.964141414141414,0.29791099000908267,85.60698975706455,760.514233241506,8.0057468108466,0.9891298023182813,8.8,10.206720190306275,100.92,5.5

120.txt,665,11.271186440677965,59,51,1.1,51,5.192878338278931,58.23076923076923,10.98076923076923,0.0003247807729782397,0.027281584930172135,0.47160068846815834,3.280550774526678,0.4383561643835616,44.27981719419235,1578.7368801490693,7.399079381870666,0.9894296397412309,8.4,9.576143749203517,102.33,5.41

