word_count1, avg_sentence_length1, sentence_count1, difficult_words1, avg_syllables_per_word1, poly_syllable_count1,Avg_wordLength1, Avg_SentLenghtByCh1, Avg_SentLenghtByWord1,CountSpecialCharacter1, CountPuncuation1,CountFunctionalWords1, AvgWordFrequencyClass1,typeTokenRatio1, BrunetsMeasureW1,YulesCharacteristicK1, ShannonEntropy1,SimpsonsIndex1, smog_index1, gunning_fog1,flesch_reading_ease1, dale_chall_readability_score1,0
764,33.21739130434783,23,23,1.3,23,6.112781954887218,175.13636363636363,28.40909090909091,0.009518909184461024,0.01852328273732956,0.7390648567119156,3.3182503770739067,0.461118690313779,50.922188393434794,1729.648815089326,7.575654905160291,0.9899295065458208,8.8,16.491145003414527,63.14,2.12,2
538,28.31578947368421,19,19,1.3,19,5.745762711864407,151.55555555555554,25.11111111111111,0.0032703488372093025,0.015625,0.7139917695473251,2.691358024691358,0.48007590132827327,40.54664419672418,1781.1478602516554,7.342672146668042,0.9910737770989776,8.8,14.738955194678145,68.11,1.96,2
1122,22.0,51,49,1.2,49,5.798941798941799,124.18181818181819,21.363636363636363,0.0068790731354091235,0.018464880521361332,0.7317073170731707,3.3821138211382116,0.45018450184501846,69.62507935975414,1629.5277282041113,8.039454719747148,0.9922193550521466,8.7,12.546880570409982,82.99,1.78,2
918,30.6,30,30,1.2,30,5.8044806517311605,177.0,30.5,0.006241928540680155,0.01657339647008179,0.6699147381242387,3.5529841656516443,0.5011185682326622,66.28842382994158,2143.756833783108,7.908926762143649,0.989545765128784,8.8,15.547189542483663,74.26,2.03,2
890,29.666666666666668,30,30,1.2,30,5.7917620137299775,167.8846153846154,29.692307692307693,0.005674080798910576,0.015887426236949616,0.6271820448877805,3.4114713216957604,0.4213547646383467,54.108587315952065,1396.4154451775798,7.589645481859584,0.9882378946516356,8.8,15.21498127340824,75.2,2.0,2
690,28.75,24,24,1.3,24,5.829842931937173,167.04761904761904,28.333333333333332,0.008752117447769622,0.015245623941276116,0.7114754098360656,3.537704918032787,0.47023809523809523,48.153422679171776,1730.4488040849235,7.545075684574773,0.9893940617513257,8.8,14.891304347826088,67.67,1.98,2
1148,19.79310344827586,58,57,1.2,57,5.77906976744186,113.34693877551021,18.979591836734695,0.0071313959707612765,0.022998752005705118,0.6355329949238578,3.484263959390863,0.4543828264758497,72.37138182555712,1737.1846736581722,8.171193978981409,0.9932627625768643,8.8,11.90330409708038,85.23,1.77,2
953,29.78125,32,32,1.4,32,6.20952380952381,180.67857142857142,29.285714285714285,0.0039261876717707105,0.014134275618374558,0.7942528735632184,3.454022988505747,0.41702127659574467,57.15156799363594,1369.58647113225,7.606305849107559,0.9884290305940241,8.8,15.255626967471144,58.17,2.01,2
766,34.81818181818182,22,22,1.2,22,5.880778588807786,205.26315789473685,34.0,0.005348955680081508,0.020122261844116147,0.7090103397341211,3.4062038404726738,0.4679144385026738,52.60007534053096,1705.6743081934592,7.746734675767875,0.9921993130151294,8.8,17.076097792546882,69.97,2.18,2
1044,25.463414634146343,41,41,1.3,41,6.134251290877797,144.42105263157896,23.263157894736842,0.0063119927862939585,0.017312894499549144,0.7336956521739131,3.6043478260869564,0.46862745098039216,69.13894561067039,1824.9527410207938,8.03578829069404,0.9908903817949567,8.8,13.756247079712177,71.01,1.88,2
851,34.04,25,25,1.3,25,6.368534482758621,204.13636363636363,32.54545454545455,0.0077348066298342545,0.015027624309392265,0.7297297297297297,3.35,0.4666666666666667,56.12980702000713,1698.4660336011686,7.809674169497652,0.9921698423728194,8.8,16.79108813160987,62.3,2.15,2
797,26.566666666666666,30,30,1.3,30,6.381898454746137,152.25,23.678571428571427,0.006508600650860065,0.018363551836355185,0.7841409691629956,3.417033773861968,0.47843137254901963,55.00522309133841,1842.3713938860749,7.836994222346951,0.9927226397166796,8.8,14.13231283981598,69.89,1.91,2
782,30.076923076923077,26,26,1.3,26,6.009174311926605,176.3913043478261,29.565217391304348,0.005135730007336757,0.015651748593788213,0.7339055793991416,3.3104434907010014,0.4368421052631579,49.90037070106917,1484.6879150881803,7.512864725296577,0.9891166668716258,8.8,15.360692504426522,66.33,2.02,2
703,30.565217391304348,23,23,1.2,23,5.577319587628866,206.23529411764707,34.470588235294116,0.003970504821327283,0.0184344866704481,0.7037617554858934,2.7053291536050157,0.47788873038516405,50.91557387881176,1780.0532620552078,7.6595998351247045,0.9921113369389232,8.8,15.534764054672522,74.29,2.03,2
1128,26.857142857142858,42,42,1.1,42,5.597495527728086,132.4,23.625,0.0067390490453013855,0.019655559715462373,0.6710393541876892,3.1644803229061553,0.4188817598533456,65.20490125537395,1358.9714086719935,7.942225293187983,0.991782609138815,8.8,14.232218844984803,86.52,1.92,2
766,23.21212121212121,33,33,1.1,33,4.826732673267327,131.1153846153846,24.0,0.006109979633401222,0.021239453011347106,0.6147186147186147,2.5916305916305915,0.4313984168865435,48.7430878683459,1396.7754227494488,7.61118523887772,0.9922178014663564,8.8,13.008086082759712,90.21,1.83,2
1091,20.98076923076923,52,52,1.2,52,5.66156462585034,114.53191489361703,19.680851063829788,0.0033106492551039177,0.019312120654772853,0.6439471007121058,3.4608341810783316,0.43253234750462105,67.45847745751574,1510.500481739935,7.966952669576054,0.9909893857491822,8.8,12.298815483325107,84.02,1.79,2
